,algorithm,dataset,batch_size,instances,time,delay,acc,joules,JPI
193,StreamingRandomPatchesExecutorMAXChunk,GMSC,MB-LF,87650.0,120.01799774169922,68.0,93.4771689497717,629.7477694837781,0.007423180579324332
99,StreamingRandomPatchesExecutorMAXChunk,GMSC,MB-LF,68850.0,120.02999877929688,83.0,93.44622093023256,591.9287611033818,0.008953353030710001
188,StreamingRandomPatchesExecutorMAXChunk,GMSC,MB-LF,56850.0,120.03700256347656,88.0,93.44894366197182,525.4953223334419,0.009548714941854785
19,StreamingRandomPatchesExecutorMAXChunk,GMSC,MB-LF,37737.0,119.94499969482422,122.0,93.5548066972696,493.35967495619985,0.013624611982374185
110,StreamingRandomPatchesExecutorMAXChunk,GMSC,MB-LF,11350.0,120.00599670410156,331.0,93.43362831858408,420.92770043945313,0.03832043073910916
126,StreamingRandomPatchesExecutorMAXChunk,GMSC,MB-LF,7200.0,120.07599639892578,503.0,93.74825174825176,407.2977797851563,0.058417777777777784
116,OzaBagExecutorMAXChunk,GMSC,MB-LF,145750.0,23.90699958801269,7.0,93.40288263555252,110.31372667040144,0.0009497672139181574
21,OzaBagExecutorMAXChunk,GMSC,MB-LF,147750.0,42.98199844360352,11.0,93.41232227488152,167.5342783779568,0.0012926640345929685
197,OzaBagExecutorMAXChunk,GMSC,MB-LF,150000.0,45.38600158691406,14.0,93.44248082694232,204.28633975153383,0.0015003623188405797
15,OzaBagExecutorMAXChunk,GMSC,MB-LF,150000.0,81.7030029296875,21.0,93.45315105035012,321.5193014660722,0.0022824276729559753
32,OzaBagExecutorMAXChunk,GMSC,MB-LF,83250.0,120.00499725341795,42.0,93.41947115384616,390.3044626827323,0.004922553995043078
145,OzaBagExecutorMAXChunk,GMSC,MB-LF,43727.0,119.90299987792967,80.0,93.45651029145776,390.9675546237995,0.009395751707972142
157,OzaBagAdwinExecutorMAXChunk,GMSC,MB-LF,148300.0,41.45399856567383,13.0,93.35649241146712,199.0755977630615,0.001521977763490097
46,OzaBagAdwinExecutorMAXChunk,GMSC,MB-LF,149102.0,47.38800048828125,14.0,93.31709738883076,219.03232646741367,0.001611980212768511
185,OzaBagAdwinExecutorMAXChunk,GMSC,MB-LF,150000.0,74.79100036621094,19.0,93.33111037012335,303.2904014850485,0.002162758620689655
45,OzaBagAdwinExecutorMAXChunk,GMSC,MB-LF,150000.0,85.11900329589844,22.0,93.44781593864622,336.42516905083716,0.0023977951807228914
199,OzaBagAdwinExecutorMAXChunk,GMSC,MB-LF,47900.0,119.93499755859376,65.0,93.56948798328108,399.39925387853106,0.008759843560547357
54,OzaBagAdwinExecutorMAXChunk,GMSC,MB-LF,41930.0,119.89199829101562,75.0,93.35482330468004,395.8006581135713,0.009920464238067814
92,OzaBagASHTExecutorMAXChunk,GMSC,MB-LF,148300.0,22.961000442504883,7.0,93.19325463743677,108.93719098832871,0.0009277740316175918
212,OzaBagASHTExecutorMAXChunk,GMSC,MB-LF,147250.0,41.3120002746582,11.0,93.33016304347828,163.83853285396796,0.0012389174073704182
213,OzaBagASHTExecutorMAXChunk,GMSC,MB-LF,150000.0,45.36000061035156,14.0,93.39046348782928,206.0327738566571,0.0015140562248995982
6,OzaBagASHTExecutorMAXChunk,GMSC,MB-LF,150000.0,81.67900085449219,20.0,93.40313437812604,319.63371030590196,0.0022697088607594937
75,OzaBagASHTExecutorMAXChunk,GMSC,MB-LF,86850.0,119.9980010986328,37.0,93.28917050691244,388.6777360146506,0.004699118261976184
96,OzaBagASHTExecutorMAXChunk,GMSC,MB-LF,43727.0,119.89900207519533,80.0,93.35806030633972,394.0436199204891,0.009469991610311817
210,LBagExecutorMAXChunk,GMSC,MB-LF,142950.0,83.72899627685547,29.0,93.30510846745976,423.658384247768,0.003150255420396495
80,LBagExecutorMAXChunk,GMSC,MB-LF,150000.0,102.45899963378906,33.0,93.45515171723908,505.6037981928611,0.003552979591836735
36,LBagExecutorMAXChunk,GMSC,MB-LF,121350.0,119.9290008544922,39.0,93.38746908491343,509.56617323417504,0.004376698267834875
183,LBagExecutorMAXChunk,GMSC,MB-LF,97550.0,120.01799774169922,47.0,93.33333333333331,500.8261949430906,0.0053899399927033265
198,LBagExecutorMAXChunk,GMSC,MB-LF,23950.0,119.8769989013672,133.0,93.53556485355648,400.92807293113225,0.017455612801899983
25,LBagExecutorMAXChunk,GMSC,MB-LF,19168.0,119.875,188.0,93.52965791400774,403.36885964912284,0.022119102012125472
29,AdaptiveRandomForestExecutorMAXChunk,GMSC,MB-LF,145950.0,108.07599639892578,36.0,93.52090472926662,552.9444820685926,0.0039261438140128285
44,AdaptiveRandomForestExecutorMAXChunk,GMSC,MB-LF,125450.0,120.03600311279295,43.0,93.6116427432217,582.5712098209867,0.0048358947436804595
70,AdaptiveRandomForestExecutorMAXChunk,GMSC,MB-LF,101100.0,120.08300018310548,48.0,93.48342404750125,527.1485008038088,0.005427630862277066
107,AdaptiveRandomForestExecutorMAXChunk,GMSC,MB-LF,69484.0,119.98300170898438,64.0,93.448454647579,489.21069230143235,0.007276341795713162
82,AdaptiveRandomForestExecutorMAXChunk,GMSC,MB-LF,19750.0,119.8479995727539,182.0,93.5482233502538,404.9572541617492,0.021043423965487883
89,AdaptiveRandomForestExecutorMAXChunk,GMSC,MB-LF,13778.0,120.00399780273438,262.0,93.40034965034964,406.52020944552953,0.03048750826599571
