,algorithm,dataset,cores_x,instances,time,delay,acc,ensemble_size,inc_rate_x,cores_y,duration,avg_measure,sum_measure,inc_rate_y,prod_rate,tt_inst_prod,avg_times_duration,joules,IPS,JPI,tput
11,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,26501.0,119.8769989013672,1929.0,90.17735849056604,25,100,4,131,4.091983122362869,969.8,,,,536.0497890295359,490.5346562639068,221.06826366085943,0.0202275306226005,221.06826366085943
20,OzaBagExecutorMAXChunk,elecNormNew,4,26501.0,119.8759994506836,596.0,78.9132075471698,25,100,4,132,3.027196652719665,723.4999999999999,,,,399.5899581589958,362.88822427853376,221.07010678899394,0.01507829735326953,221.07010678899394
13,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,26501.0,119.85900115966795,667.0,86.15849056603774,25,100,4,133,3.1954356846473027,770.0999999999999,,,,424.99294605809126,383.0017294317854,221.10145874398856,0.01603686449787145,221.10145874398856
4,OzaBagASHTExecutorMAXChunk,elecNormNew,4,26501.0,119.8769989013672,624.0,78.19622641509434,25,100,4,132,3.066666666666667,736.0,,,,404.8,367.62279663085945,221.06826366085943,0.015274895286970304,221.06826366085943
10,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,27001.0,120.22699737548828,1592.0,89.32962962962962,25,100,4,132,3.6974999999999993,887.3999999999999,,,,488.06999999999994,444.53932279586786,224.58350112222737,0.018075997185289433,224.58350112222737
12,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,31001.0,121.4540023803711,1909.0,92.86451612903224,25,100,4,133,4.895435684647303,1179.8000000000002,,,,651.0929460580913,594.5702572961071,255.24889581580604,0.021002320765720183,255.24889581580604
21,OzaBagExecutorMAXChunk,covtypeNorm,4,294001.0,120.0019989013672,200.0,79.29523809523809,25,100,4,132,4.599999999999999,1099.3999999999996,,,,607.1999999999998,552.009194946289,2449.967522971406,0.002065299097622116,2449.967522971406
1,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,81551.0,120.00599670410156,36.0,84.47087676272226,25,100,4,133,4.647302904564316,1120.0,,,,618.091286307054,557.7042170481069,679.5577074459043,0.007579199351412662,679.5577074459043
0,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,294501.0,120.08200073242188,200.0,76.6672325976231,25,100,4,133,4.594628099173553,1111.8999999999999,,,,611.0855371900825,551.7321347701647,2452.4991106388634,0.002074986289316785,2452.4991106388634
15,LBagExecutorMAXChunk,covtypeNorm,4,81501.0,120.11100006103516,719.0,90.28466257668713,25,100,4,132,5.129707112970712,1226.0,,,,677.121338912134,616.1342513591176,678.5473433622628,0.008308135346954442,678.5473433622628
17,AdaptiveRandomForestExecutorMAXChunk,covtypeNorm,4,101001.0,120.5989990234375,584.0,89.94653465346535,25,100,4,132,5.107916666666667,1225.9,,,,674.245,616.0096370951335,837.4945133696443,0.006675626973990357,837.4945133696443
6,StreamingRandomPatchesExecutorMAXChunk,airlines,4,9001.0,124.89700317382812,6854.0,69.14444444444445,25,100,4,136,5.2768292682926825,1298.1,,,,717.6487804878049,659.0601618697003,72.06738169267891,0.07972989451036605,72.06738169267891
19,OzaBagExecutorMAXChunk,airlines,4,201251.0,120.00700378417967,148.0,64.44670807453417,25,100,4,132,4.898744769874476,1170.7999999999997,,,,646.6343096234308,587.8836821360566,1676.9937891452514,0.0032130737716753247,1676.9937891452514
3,OzaBagAdwinExecutorMAXChunk,airlines,4,36751.0,120.177001953125,814.0,70.51972789115646,25,100,4,133,4.955785123966942,1199.3,,,,659.1194214876033,595.571398522243,305.80726264360226,0.017934734333422308,305.80726264360226
2,OzaBagASHTExecutorMAXChunk,airlines,4,167501.0,120.13500213623048,356.0,65.24059701492537,25,100,4,133,4.9937759336099585,1203.5,,,,664.1721991701245,599.9272824520888,1394.2730846257239,0.003965183486487391,1394.2730846257239
5,LBagExecutorMAXChunk,airlines,4,,,,,25,100,4,78,5.310563380281691,754.1000000000001,,,,414.2239436619719,,,,
9,AdaptiveRandomForestExecutorMAXChunk,airlines,4,8501.0,123.31199645996094,3585.0,65.43529411764706,25,100,4,135,5.073061224489795,1242.8999999999996,,,,684.8632653061223,625.5693077554507,68.93895358153779,0.08056267089826166,68.93895358153779
7,StreamingRandomPatchesExecutorMAXChunk,GMSC,4,88501.0,119.96399688720705,628.0,93.48813559322032,25,100,4,131,4.991176470588234,1187.8999999999999,,,,653.8441176470587,598.761478581148,737.7296713714092,0.007387985645891671,737.7296713714092
8,OzaBagExecutorMAXChunk,GMSC,4,91001.0,119.99199676513672,396.0,93.4043956043956,25,100,4,133,3.226859504132231,780.9,,,,429.17231404958676,387.19731518138536,758.3922465938998,0.004716127449693814,758.3922465938998
16,OzaBagAdwinExecutorMAXChunk,GMSC,4,86001.0,120.0,449.0,93.44186046511628,25,100,4,132,3.3811715481171545,808.0999999999999,,,,446.3146443514644,405.74058577405856,716.675,0.005189644822170258,716.675
14,OzaBagASHTExecutorMAXChunk,GMSC,4,91001.0,120.01100158691406,202.0,93.3824175824176,25,100,4,133,3.234854771784232,779.5999999999999,,,,430.23568464730283,388.218161150034,758.2721483587943,0.004727812712468026,758.2721483587943
18,AdaptiveRandomForestExecutorMAXChunk,GMSC,4,91501.0,119.97799682617188,533.0,93.5311475409836,25,100,4,132,4.2234309623430955,1009.3999999999999,,,,557.4928870292886,506.7187865955559,762.6481723358801,0.006092751850026651,762.6481723358801
